1565427569.736366 Temp=28.2C and Humidity=76.0%
1565427573.483218 Temp=28.2C and Humidity=76.1%
1565427575.476257 Temp=28.2C and Humidity=76.1%
1565427579.239913 Temp=28.2C and Humidity=76.0%
1565427585.598597 Temp=28.2C and Humidity=76.0%
1565427586.296556 Temp=28.2C and Humidity=76.0%
1565427591.397623 Temp=28.2C and Humidity=76.0%
1565427594.598064 Temp=28.2C and Humidity=76.0%
1565427612.416523 Temp=28.2C and Humidity=76.0%
1565427620.382065 Temp=28.2C and Humidity=75.9%
1565427633.279193 Temp=28.2C and Humidity=76.0%
1565427635.873310 Temp=28.2C and Humidity=76.0%
1565427636.879265 Temp=28.2C and Humidity=76.0%
1565427640.628106 Temp=28.2C and Humidity=76.0%
1565427641.495049 Temp=28.2C and Humidity=76.1%
1565427649.196550 Temp=28.2C and Humidity=76.0%
1565427652.006298 Temp=28.2C and Humidity=76.0%
1565427658.232273 Temp=28.2C and Humidity=76.0%
1565427662.033795 Temp=28.2C and Humidity=75.9%
1565427668.202045 Temp=28.2C and Humidity=76.7%
1565427672.528138 Temp=28.2C and Humidity=77.2%
1565427675.873516 Temp=28.2C and Humidity=77.3%
1565427680.848755 Temp=28.2C and Humidity=77.7%
1565427684.597258 Temp=28.2C and Humidity=77.6%
1565427688.284311 Temp=28.3C and Humidity=77.3%
1565427689.761148 Temp=28.3C and Humidity=77.2%
1565427693.528483 Temp=28.3C and Humidity=77.3%
1565427699.581649 Temp=28.3C and Humidity=77.1%
1565427704.793399 Temp=28.3C and Humidity=77.2%
1565427713.529248 Temp=28.3C and Humidity=77.3%
1565427716.069433 Temp=28.3C and Humidity=77.3%
1565427724.797217 Temp=28.3C and Humidity=77.2%
1565427726.695890 Temp=28.3C and Humidity=77.1%
1565427728.551880 Temp=28.3C and Humidity=77.0%
1565427732.288509 Temp=28.3C and Humidity=76.9%
1565427735.963294 Temp=28.3C and Humidity=76.9%
1565427737.463487 Temp=28.3C and Humidity=76.9%
1565427740.486769 Temp=28.3C and Humidity=77.0%
1565427742.260745 Temp=28.3C and Humidity=77.1%
1565427745.987231 Temp=28.3C and Humidity=77.0%
1565427746.771090 Temp=28.3C and Humidity=76.9%
1565427748.722169 Temp=28.3C and Humidity=76.9%
1565427757.416900 Temp=28.3C and Humidity=76.6%
1565427762.539450 Temp=28.3C and Humidity=76.6%
1565427765.748485 Temp=28.4C and Humidity=76.5%
1565427769.469986 Temp=28.4C and Humidity=76.4%
1565427776.252703 Temp=28.4C and Humidity=76.3%
1565427778.207424 Temp=26.7C and Humidity=52.1%
1565427778.866587 Temp=28.3C and Humidity=76.1%
1565427780.060174 Temp=28.3C and Humidity=76.1%
1565427792.941116 Temp=28.4C and Humidity=75.9%
1565427793.853808 Temp=28.4C and Humidity=75.8%
1565427796.716056 Temp=28.4C and Humidity=75.8%
1565427797.720249 Temp=28.4C and Humidity=75.8%
1565427799.258652 Temp=28.3C and Humidity=75.7%
1565427800.422683 Temp=28.4C and Humidity=75.8%
1565427803.946367 Temp=28.4C and Humidity=75.7%
1565427811.691014 Temp=28.4C and Humidity=75.8%
1565427825.373035 Temp=28.4C and Humidity=75.8%
1565427833.090732 Temp=28.4C and Humidity=75.7%
1565427834.142720 Temp=28.4C and Humidity=75.7%
1565427835.686507 Temp=28.4C and Humidity=75.7%
1565427839.381959 Temp=28.4C and Humidity=75.7%
1565427846.844810 Temp=28.4C and Humidity=75.5%
1565427848.456452 Temp=28.4C and Humidity=75.9%
1565427849.526248 Temp=28.4C and Humidity=75.5%
1565427854.661699 Temp=28.4C and Humidity=75.4%
1565427858.056124 Temp=28.4C and Humidity=75.4%
1565427860.686274 Temp=28.4C and Humidity=75.4%
1565427861.486197 Temp=28.4C and Humidity=75.4%
1565427863.314845 Temp=28.4C and Humidity=75.4%
1565427867.828721 Temp=28.4C and Humidity=75.3%
1565427868.445178 Temp=28.5C and Humidity=75.4%
1565427869.350747 Temp=28.4C and Humidity=75.2%
1565427872.058523 Temp=28.4C and Humidity=75.2%
1565427875.621157 Temp=28.4C and Humidity=75.1%
1565427878.259259 Temp=28.4C and Humidity=75.0%
